title,ingredients,steps,cuisine,diet,difficulty,image_url
Cheese Burger,"Burger buns, ground beef patties, cheese slices, lettuce, tomato slices, onions, pickles, ketchup, mustard, mayonnaise, salt, pepper, oil","Prepare Patties: Season ground beef with salt and pepper. Shape into patties. Cook Patties: Heat oil in a pan or grill. Cook patties until desired doneness. Add Cheese: Place cheese slice on patties during last minute of cooking to melt. Toast Buns: Lightly toast burger buns. Assemble Burger: Spread ketchup, mustard, and mayonnaise on buns. Add lettuce, tomato, onion slices, pickles, and cooked patties with melted cheese. Serve: Serve hot with fries or salad.",American,Veg,Easy,images/img32.jpg
Veggie Wrap,"Tortilla wraps, mixed vegetables (lettuce, tomatoes, cucumbers, bell peppers), hummus or cream cheese, avocado (optional), salt, pepper, olive oil, lemon juice","Prepare Vegetables: Chop all vegetables into thin strips or bite-sized pieces. Make Dressing: Toss vegetables with olive oil, lemon juice, salt, and pepper. Spread Base: Spread hummus or cream cheese evenly over the tortilla wrap. Add Vegetables: Place the dressed vegetables and avocado slices on the tortilla. Wrap: Roll the tortilla tightly, folding the sides in as you go. Serve: Cut in half and serve immediately or wrap in foil for later.",Middle Eastern,Veg,Medium,images/img33.jpg
Chicken Shawarma,"Chicken thighs (boneless), yogurt, garlic, lemon juice, olive oil, ground cumin, ground coriander, paprika, turmeric, cinnamon, cayenne pepper, salt, pepper, pita bread, tahini sauce, cucumber, tomato, onions, lettuce","Marinate Chicken: In a bowl, mix yogurt, minced garlic, lemon juice, olive oil, cumin, coriander, paprika, turmeric, cinnamon, cayenne pepper, salt, and pepper. Add chicken thighs and marinate for at least 2 hours or overnight. Cook Chicken: Grill or pan-fry the marinated chicken until fully cooked and slightly charred. Prepare Wrap: Slice cooked chicken thinly. Warm pita bread. Assemble Shawarma: Place chicken slices in pita bread. Add sliced cucumber, tomato, onions, and lettuce. Drizzle with tahini sauce. Serve: Wrap and serve hot.",Middle Eastern,Non-Veg,Easy,images/img34.jpg
French Fries,"Potatoes, oil (for frying), salt",Prepare Potatoes: Peel and cut potatoes into thin sticks. Soak: Soak potato sticks in cold water for 30 minutes to remove excess starch. Drain and pat dry. Heat Oil: Heat oil in a deep fryer or deep pan to 350°F (175°C). Fry Potatoes: Fry potatoes in batches until golden and crispy. Remove and drain on paper towels. Season: Sprinkle salt immediately while hot. Serve: Serve hot with ketchup or dip of choice.,American,Veg,Easy,images/img35.jpg
Garlic Bread,"Baguette or Italian bread, butter, garlic, parsley, salt","Prepare Garlic Butter: Soften butter and mix with minced garlic, chopped parsley, and a pinch of salt. Slice Bread: Cut the bread into slices, but not all the way through (leave the base intact). Apply Butter: Spread the garlic butter generously between the slices and on top of the bread. Bake: Wrap in foil and bake in a preheated oven at 350°F (175°C) for 15 minutes. Open the foil and bake for an additional 5 minutes for a crispy top. Serve: Serve warm as a side dish.",Italian,Veg,Easy,images/img36.jpg
Omelette,"Eggs, salt, pepper, butter or oil, onions (optional), tomatoes (optional), bell peppers (optional), cheese (optional), herbs (optional)","Beat Eggs: Crack eggs into a bowl, add salt and pepper, and whisk well. Prepare Filling (Optional): Chop onions, tomatoes, bell peppers, and herbs if using. Cook Vegetables: Heat butter or oil in a pan. Sauté vegetables until soft. Add Eggs: Pour beaten eggs over the vegetables in the pan. Cook Omelette: Cook on medium heat until eggs begin to set. Add cheese on top if desired. Fold and Serve: Fold omelette in half and cook for another minute. Serve hot.",American,Non-Veg,Easy,images/img37.jpg
Scrambled Eggs,"Eggs, salt, pepper, butter or oil, milk or cream (optional), herbs (optional)","Beat Eggs: Crack eggs into a bowl, add salt, pepper, and a splash of milk or cream if using. Whisk well. Heat Pan: Melt butter or heat oil in a non-stick pan over medium-low heat. Cook Eggs: Pour eggs into the pan. Stir gently and continuously with a spatula to scramble the eggs. Cook to Preference: Cook until eggs are softly set and creamy, or longer if you prefer firmer eggs. Add Herbs and Serve: Stir in chopped herbs if desired and serve hot.",American,Non-Veg,Easy,images/img38.jpg
Pancakes,"All-purpose flour, baking powder, sugar, salt, milk, eggs, melted butter, vanilla extract (optional)","Mix Dry Ingredients: In a bowl, combine flour, baking powder, sugar, and salt. Mix Wet Ingredients: In another bowl, whisk milk, eggs, melted butter, and vanilla extract. Combine: Pour wet ingredients into dry ingredients and mix until just combined (some lumps are okay). Cook Pancakes: Heat a non-stick pan or griddle over medium heat. Pour batter to form pancakes. Cook until bubbles form on the surface, then flip and cook until golden. Serve: Serve hot with syrup, butter, or fruit.",American,Veg,Easy,images/img39.jpg
Waffles,"All-purpose flour, baking powder, sugar, salt, eggs, milk, melted butter, vanilla extract (optional)","Mix Dry Ingredients: In a bowl, combine flour, baking powder, sugar, and salt. Mix Wet Ingredients: In another bowl, whisk eggs, milk, melted butter, and vanilla extract. Combine: Pour wet ingredients into dry ingredients and mix until smooth. Preheat Waffle Iron: Preheat your waffle iron according to manufacturers instructions. Cook Waffles: Pour batter onto the waffle iron and cook until golden and crisp. Serve: Serve hot with syrup, butter, or fruit.",American,Veg,Easy,images/img40.jpg
Mango Smoothie,"Ripe mangoes, yogurt or milk, honey or sugar (optional), ice cubes","Prepare Mango: Peel and chop ripe mangoes into chunks. Blend Ingredients: In a blender, combine mango chunks, yogurt or milk, honey or sugar if using, and ice cubes. Blend Smooth: Blend until smooth and creamy. Serve: Pour into glasses and serve chilled.",American,Veg,Easy,images/img41.jpg
Strawberry Milkshake,"Fresh strawberries, milk, vanilla ice cream, sugar or honey (optional), whipped cream (optional)","Prepare Strawberries: Wash and hull fresh strawberries. Blend Ingredients: In a blender, combine strawberries, milk, vanilla ice cream, and sugar or honey if desired. Blend Smooth: Blend until creamy and smooth. Serve: Pour into glasses and top with whipped cream if desired. Serve chilled.",American,Veg,Easy,images/img42.jpg
Banana Shake,"Ripe bananas, milk, honey or sugar (optional), ice cubes, vanilla extract (optional)","Prepare Bananas: Peel and slice ripe bananas. Blend Ingredients: In a blender, combine banana slices, milk, honey or sugar if desired, ice cubes, and vanilla extract if using. Blend Smooth: Blend until creamy and smooth. Serve: Pour into glasses and serve chilled.",American,Veg,Easy,images/img43.jpg
Chocolate Cake,"All-purpose flour, cocoa powder, baking powder, baking soda, salt, sugar, eggs, milk, vegetable oil, vanilla extract, boiling water","Preheat Oven: Preheat oven to 350°F (175°C). Grease and flour a cake pan. Mix Dry Ingredients: In a bowl, sift together flour, cocoa powder, baking powder, baking soda, salt, and sugar. Add Wet Ingredients: Add eggs, milk, vegetable oil, and vanilla extract. Beat until smooth. Add Boiling Water: Gradually add boiling water and mix until batter is smooth (batter will be thin). Bake: Pour batter into the prepared pan. Bake for 30-35 minutes or until a toothpick inserted comes out clean. Cool and Serve: Let cake cool before frosting or serving.",Indian,Veg,Easy,images/img44.jpg
Vanilla Cupcake,"All-purpose flour, baking powder, salt, sugar, butter, eggs, milk, vanilla extract","Preheat Oven: Preheat oven to 350°F (175°C). Line a cupcake pan with paper liners. Mix Dry Ingredients: In a bowl, combine flour, baking powder, and salt. Cream Butter and Sugar: In another bowl, cream butter and sugar until light and fluffy. Add Eggs and Vanilla: Beat in eggs one at a time, then add vanilla extract. Combine Wet and Dry: Add dry ingredients alternately with milk, mixing gently until combined. Fill Cupcake Liners: Pour batter into liners about 2/3 full. Bake: Bake for 18-20 minutes or until a toothpick inserted comes out clean. Cool and Serve: Let cool before frosting or serving.",Indian,Veg,Medium,images/img45.jpg
Brownies,"Unsweetened cocoa powder, all-purpose flour, sugar, butter, eggs, vanilla extract, salt, baking powder (optional), chocolate chips (optional)","Preheat Oven: Preheat oven to 350°F (175°C). Grease or line a baking pan with parchment paper. Melt Butter and Cocoa: In a saucepan or microwave, melt butter and cocoa powder together. Let cool slightly. Mix Wet Ingredients: In a bowl, beat eggs and sugar until combined. Add vanilla extract. Combine: Stir melted butter and cocoa mixture into eggs. Then add flour, salt, and baking powder (if using). Mix until just combined. Fold in chocolate chips if desired. Bake: Pour batter into the prepared pan and bake for 20-25 minutes or until a toothpick inserted comes out with moist crumbs. Cool and Serve: Let cool before cutting into squares.",Indian,Veg,Medium,images/img46.jpg
Gulab Jamun,"Milk powder, all-purpose flour, baking soda, milk, ghee or oil (for frying), sugar, water, cardamom pods, rose water (optional), saffron strands (optional)","Prepare Sugar Syrup: In a saucepan, combine sugar and water. Heat until sugar dissolves. Add crushed cardamom pods, rose water, and saffron if using. Keep warm. Make Dough: In a bowl, mix milk powder, flour, and baking soda. Add milk little by little to form a soft dough. Shape Balls: Divide dough into small smooth balls without cracks. Fry: Heat ghee or oil on medium-low heat. Fry balls until golden brown, stirring gently to cook evenly. Soak: Remove fried balls and immediately soak in warm sugar syrup for at least 30 minutes. Serve: Serve warm or at room temperature.",Indian,Veg,Easy,images/img47.jpg
Rasgulla,"Whole milk, lemon juice or vinegar, sugar, water, rose water (optional)",Make Chhena (Paneer): Boil milk in a heavy pan. Add lemon juice or vinegar gradually to curdle the milk. Stir gently until curds form. Strain through cheesecloth and rinse with cold water. Squeeze out excess water and hang to drain for 30 minutes. Knead Chhena: Knead the chhena until smooth and soft. Shape Balls: Divide the chhena into small smooth balls without cracks. Prepare Sugar Syrup: Boil sugar and water to make syrup. Add rose water if desired. Cook Rasgullas: Drop balls into boiling sugar syrup. Cover and cook on medium heat for 15-20 minutes until they expand and become spongy. Cool and Serve: Let cool in syrup before serving chilled or at room temperature.,Indian,Veg,Easy,images/img48.jpg
Kheer,"Basmati rice, whole milk, sugar, cardamom powder, saffron strands (optional), chopped nuts (almonds, cashews, pistachios), raisins (optional)","Wash Rice: Rinse basmati rice under cold water until water runs clear. Boil Milk: In a heavy-bottomed pan, bring milk to a boil. Add Rice: Add washed rice to boiling milk. Reduce heat and simmer, stirring occasionally. Cook: Cook until rice is soft and milk thickens, about 30-40 minutes. Add Sugar and Flavor: Stir in sugar, cardamom powder, and saffron strands if using. Cook for another 5 minutes. Add Nuts and Raisins: Garnish with chopped nuts and raisins. Serve: Serve warm or chilled.",Indian,Veg,Medium,images/img49.jpg
Halwa,"Semolina (sooji/rava), ghee, sugar, water, milk, cardamom powder, chopped nuts (cashews, almonds, raisins)","Heat Ghee: In a pan, heat ghee on medium heat. Roast Semolina: Add semolina and roast, stirring continuously until golden and aromatic. Boil Liquids: In another pan, bring water and milk to a boil. Add Liquids: Gradually add hot water and milk mixture to roasted semolina, stirring continuously to avoid lumps. Add Sugar and Flavor: Add sugar and cardamom powder. Cook until the mixture thickens and semolina is fully cooked. Add Nuts: Stir in chopped nuts and raisins. Serve: Serve warm.",Indian,Veg,Easy,images/img50.jpg
Lassi,"Yogurt, water or milk, sugar, salt (optional), cardamom powder (optional), mint leaves (optional), ice cubes","Blend Ingredients: In a blender, combine yogurt, water or milk, sugar, and ice cubes. Flavor (Optional): Add a pinch of salt for salted lassi or cardamom powder and mint leaves for flavored lassi. Blend Smooth: Blend until frothy and smooth. Serve: Pour into glasses and serve chilled.",Indian,Veg,Easy,images/img51.jpg
Nimbu Pani,"Fresh lemon juice, water, sugar, salt, black salt (optional), roasted cumin powder (optional), mint leaves (optional), ice cubes","Mix Lemon Juice and Water: In a pitcher, combine fresh lemon juice and water. Add Sweeteners and Spices: Add sugar, salt, black salt, and roasted cumin powder as desired. Stir: Mix well until sugar dissolves completely. Add Ice and Mint: Add ice cubes and garnish with mint leaves. Serve: Serve chilled.",Indian,Veg,Easy,images/img52.jpg
Masala Chai,"Water, milk, black tea leaves, sugar, ginger, green cardamom pods, cinnamon stick, cloves, black peppercorns, star anise (optional)","Crush Spices: Lightly crush cardamom pods, cinnamon stick, cloves, black peppercorns, and star anise if using. Boil Water with Spices: In a pot, bring water, crushed spices, and grated ginger to a boil. Simmer for 5 minutes. Add Tea Leaves: Add black tea leaves and boil for 2-3 minutes. Add Milk and Sugar: Add milk and sugar. Bring to a boil again and simmer for 3-5 minutes. Strain and Serve: Strain the chai into cups and serve hot.",Chinese,Veg,Easy,images/img53.jpg
Green Tea,"Green tea leaves or green tea bags, water, honey or lemon (optional)","Boil Water: Bring water to a boil, then let it cool for a minute to about 80°C (176°F). Steep Tea: Add green tea leaves or tea bag to hot water. Steep for 2-3 minutes. Remove Leaves/Bag: Remove tea leaves or tea bag. Add Flavor (Optional): Add honey or lemon as desired. Serve: Serve hot.",Chinese,Veg,Easy,images/img54.jpg
Tomato Soup,"Tomatoes, Onion, Garlic, Butter, Olive oil, Vegetable broth, Salt, Black pepper, Sugar, Basil leaves, Cream (optional), Croutons (optional)","Prepare ingredients: Wash and roughly chop the tomatoes. Peel and chop the onion and garlic. Sauté aromatics: In a pot, heat butter and olive oil. Add chopped onion and garlic. Sauté until soft and fragrant. Add tomatoes: Add chopped tomatoes and cook until they become soft (about 8-10 minutes). Season: Add salt, black pepper, a pinch of sugar, and a few basil leaves. Mix well. Add broth: Pour in vegetable broth. Simmer for 10-15 minutes to blend flavors. Blend: Use a hand blender (or let it cool and blend in a mixer) until smooth. Strain (optional): Strain the soup to remove seeds and skin for a smooth texture. Heat and finish: Reheat the soup. Add a little cream for richness, if desired. Serve: Pour into bowls. Garnish with basil, cream swirl, or croutons.",Chinese,Veg,Easy,images/img55.jpg
Sweet Corn Soup,"Sweet corn kernels, Corn flour, Water, Carrot, Cabbage, Spring onions, Ginger, Garlic, Salt, Black pepper, Soy sauce, Vinegar, Butter, Vegetable broth (optional)","Prepare corn: Boil or steam sweet corn kernels. Blend half of them into a coarse paste; keep the rest whole. Sauté aromatics: In a pot, heat butter. Add finely chopped ginger and garlic. Sauté for a minute. Add vegetables: Add finely chopped carrot, cabbage, and spring onions. Sauté for 2-3 minutes. Add corn: Mix in both the corn paste and whole kernels. Add water/broth: Pour in water or vegetable broth. Bring to a boil. Season: Add salt, black pepper, a dash of soy sauce, and a few drops of vinegar. Thicken soup: Mix corn flour with water to make a slurry. Slowly add it to the soup while stirring to avoid lumps. Simmer: Cook for 5-7 minutes until the soup thickens slightly and vegetables are tender. Serve: Garnish with chopped spring onions. Serve hot.",Chinese,Veg,Medium,images/img56.jpg
Hot and Sour Soup,"Mushrooms, Carrot, Cabbage, Spring onions, Ginger, Garlic, Green chili (optional), Soy sauce, Vinegar, Chili sauce, Black pepper, Salt, Corn flour, Water, Vegetable broth, Tofu (optional), White pepper (optional), Sesame oil (optional)","Prepare vegetables: Finely chop mushrooms, carrots, cabbage, ginger, garlic, and spring onions. Sauté aromatics: In a large pot, heat a bit of sesame oil or regular oil. Add ginger, garlic, and green chili (if using). Sauté for 1 minute. Add vegetables: Add the chopped vegetables (and tofu if using). Stir-fry for 23 minutes. Add liquids: Pour in vegetable broth or water. Bring to a boil. Season: Add soy sauce, vinegar, chili sauce, salt, black pepper, and white pepper (optional). Mix well. Thicken soup: In a small bowl, mix corn flour with water to form a slurry. Slowly add it to the soup, stirring constantly. Simmer: Let the soup simmer for 45 minutes until it thickens slightly. Finish: Taste and adjust spices. Add chopped spring onion greens just before turning off the heat. Serve: Serve hot, garnished with extra spring onions or a dash of chili oil if desired.",American,Veg,Medium,images/img57.jpg
Manchow Soup,"Cabbage, Carrot, Capsicum, French beans, Spring onions, Garlic, Ginger, Green chili, Soy sauce, Vinegar, Red chili sauce, Black pepper, Salt, Corn flour, Water, Vegetable broth, Oil, Fried noodles (for garnish)","Chop vegetables: Finely chop cabbage, carrot, capsicum, French beans, garlic, ginger, green chili, and spring onions. Sauté aromatics: In a large pot, heat oil. Add ginger, garlic, and green chili. Sauté for a minute until fragrant. Add vegetables: Add chopped vegetables and stir-fry on high flame for 23 minutes. Pour liquid: Add water or vegetable broth. Mix and bring to a boil. Add sauces and seasoning: Add soy sauce, vinegar, red chili sauce, black pepper, and salt. Mix well. Thicken the soup: Make a slurry by mixing corn flour with water. Slowly add to the soup while stirring continuously. Simmer: Let the soup simmer for 5 minutes until it thickens. Finish: Add chopped spring onion greens. Stir and turn off the heat. Serve: Pour into bowls and top with crispy fried noodles for that signature crunch.",Greek,Veg,Medium,images/img58.jpg
Caesar Salad,"Romaine lettuce, Croutons, Parmesan cheese, Egg yolk, Garlic, Dijon mustard, Lemon juice, Olive oil, Anchovy paste (optional), Worcestershire sauce, Salt, Black pepper","Prepare lettuce: Wash and chop romaine lettuce. Pat dry and refrigerate to keep it crisp. Make dressing: In a bowl, whisk together egg yolk, minced garlic, Dijon mustard, lemon juice, anchovy paste (optional), and Worcestershire sauce. Add oil: Slowly drizzle in olive oil while whisking to emulsify into a creamy dressing. Season: Add salt and freshly ground black pepper to taste. Toss salad: In a large bowl, combine lettuce, croutons, and grated or shaved Parmesan cheese. Dress and mix: Pour the dressing over the salad and toss until well coated. Serve: Top with extra Parmesan and fresh black pepper. Serve immediately.",American,Veg,Medium,images/img59.jpg
Greek Salad,"Cucumber, Cherry tomatoes, Red onion, Kalamata olives, Feta cheese, Green bell pepper, Dried oregano, Olive oil, Red wine vinegar, Salt, Black pepper","Chop vegetables: Dice cucumber, halve cherry tomatoes, thinly slice red onion, and chop green bell pepper. Combine base: In a large bowl, combine chopped vegetables with Kalamata olives. Add feta: Cut feta cheese into cubes or crumble it and add to the salad. Make dressing: In a small bowl, whisk together olive oil, red wine vinegar, dried oregano, salt, and black pepper. Toss salad: Pour the dressing over the salad and toss gently. Serve: Serve chilled or at room temperature.",American,Veg,Medium,images/img60.jpg
Fruit Salad,"Apple, Banana, Orange, Grapes, Pineapple, Strawberry, Kiwi, Pomegranate seeds, Honey, Lemon juice, Mint leaves (optional), Chaat masala (optional for Indian twist)","Wash and chop: Wash all fruits thoroughly. Peel and chop them into bite-sized pieces. Combine fruits: In a large bowl, mix all the chopped fruits. Add flavor: Drizzle with honey and a little lemon juice to enhance flavor and prevent browning. Optional spices: Add a pinch of chaat masala for a tangy Indian twist if desired. Mix and chill: Toss gently to combine. Refrigerate for 1530 minutes. Serve: Garnish with mint leaves before serving.",American,Veg,Easy,images/img61.jpg
Chicken Salad,"Cooked chicken breast, Mayonnaise, Greek yogurt (optional), Celery, Red onion, Apple (optional), Lettuce, Salt, Black pepper, Lemon juice, Dijon mustard (optional), Parsley or coriander leaves","Prepare chicken: Shred or dice cooked chicken breast into small pieces. Chop veggies: Finely chop celery, red onion, and apple (if using). Chop fresh parsley or coriander. Make dressing: In a bowl, mix mayonnaise, a spoon of Greek yogurt (optional), lemon juice, Dijon mustard (optional), salt, and black pepper. Combine ingredients: Add chopped vegetables and chicken to the dressing. Mix well to coat everything evenly. Chill: Refrigerate for 1530 minutes to enhance flavor. Serve: Serve over a bed of lettuce, in a sandwich, wrap, or on its own.",Indian,Non-Veg,Easy,images/img62.jpg
Mushroom Soup,"Mushrooms, Onion, Garlic, Butter, Olive oil, All-purpose flour, Milk, Cream (optional), Vegetable broth, Salt, Black pepper, Thyme (optional), Parsley (for garnish)","Chop ingredients: Clean and slice mushrooms. Finely chop onion and garlic. Sauté aromatics: In a pot, heat butter and a little olive oil. Add chopped onion and garlic. Sauté until translucent. Cook mushrooms: Add mushrooms and cook until soft and browned (about 810 minutes). Add flour: Sprinkle flour over the mushrooms and mix well. Cook for 2 minutes to remove raw flavor. Pour liquids: Slowly add vegetable broth and stir to avoid lumps. Add milk and bring to a simmer. Season: Add salt, black pepper, and thyme (if using). Let it cook for 1015 minutes. Blend (optional): For a creamy texture, blend the soup partially or fully, then return to pot. Finish: Stir in cream (optional) and simmer for 2 more minutes. Serve: Garnish with chopped parsley and serve hot.",Indian,Veg,Easy,images/img63.jpg
Pav Bhaji,"Potatoes, Tomatoes, Green peas, Cauliflower, Carrot, Capsicum (bell pepper), Onion, Ginger, Garlic, Butter, Pav bhaji masala, Red chili powder, Turmeric powder, Salt, Lemon, Fresh coriander leaves, Pav buns, Oil","Boil vegetables: Boil potatoes, cauliflower, carrots, green peas until soft. Mash them well. Prepare masala: Finely chop onions, tomatoes, ginger, and garlic. Cook masala: In a pan, heat oil and butter. Sauté onions, ginger, and garlic until golden. Add tomatoes and spices: Add chopped tomatoes, pav bhaji masala, turmeric, red chili powder, and salt. Cook until tomatoes are soft. Add mashed veggies: Add the mashed vegetables to the pan. Mix well. Cook bhaji: Add some water to adjust consistency. Simmer and cook for 1015 minutes, stirring frequently. Prepare pav: Heat butter on a skillet. Slice pav buns and toast them on the skillet until golden. Serve: Garnish bhaji with fresh coriander and a squeeze of lemon. Serve hot with toasted pav.",Indian,Veg,Easy,images/img64.jpg
Vada Pav,"Potatoes, Green chili, Ginger, Garlic, Mustard seeds, Curry leaves, Turmeric powder, Salt, Gram flour (besan), Water, Oil (for frying), Pav buns, Green chutney, Tamarind chutney, Dry garlic chutney (optional)","Boil potatoes: Boil and mash potatoes until smooth. Prepare tempering: Heat oil in a pan, add mustard seeds, curry leaves, finely chopped green chili, ginger, and garlic. Sauté for a minute. Mix potatoes: Add turmeric powder and salt to the tempering. Mix mashed potatoes into the pan. Cook for 2-3 minutes. Let the mixture cool. Make batter: Prepare a thick batter by mixing gram flour with water and a pinch of salt. Shape vadas: Make small balls from the potato mixture. Fry vadas: Dip potato balls into the batter, then deep fry in hot oil until golden and crispy. Prepare pav: Slice pav buns horizontally and lightly toast with butter on a pan. Assemble: Spread green chutney, tamarind chutney, and dry garlic chutney (optional) inside the pav. Place the fried vada inside. Serve: Serve hot with fried green chili or chutneys.",Indian,Veg,Easy,images/img65.jpg
Misal Pav,"Sprouted moth beans (matki), Onion, Tomato, Green chili, Ginger, Garlic, Mustard seeds, Curry leaves, Turmeric powder, Red chili powder, Goda masala (or garam masala), Salt, Oil, Farsan (Indian snack mix), Fresh coriander leaves, Lemon, Pav buns","Cook sprouts: Boil sprouted moth beans until soft but not mushy. Prepare tempering: Heat oil in a pan. Add mustard seeds, curry leaves, chopped ginger, garlic, and green chili. Sauté until fragrant. Add onions and tomatoes: Add finely chopped onions and sauté until translucent. Then add chopped tomatoes and cook until soft. Add spices: Mix in turmeric powder, red chili powder, goda masala, and salt. Cook sprouts in masala: Add boiled sprouts and some water to make a curry-like consistency. Simmer for 1015 minutes. Prepare pav: Lightly toast pav buns on a pan with butter. Serve: Pour the misal (sprouts curry) into bowls. Top with farsan, chopped coriander, and a squeeze of lemon. Serve hot with pav.",Indian,Veg,Medium,images/img66.jpg
Poha,"Flattened rice (poha), Onion, Green chili, Mustard seeds, Curry leaves, Turmeric powder, Salt, Sugar, Lemon juice, Peanuts, Oil, Fresh coriander leaves","Rinse poha: Rinse flattened rice in water gently and drain. Let it soften but not become mushy. Prepare tempering: Heat oil in a pan. Add mustard seeds and let them splutter. Add curry leaves, chopped green chili, and peanuts. Fry for a minute. Sauté onions: Add finely chopped onions and sauté until translucent. Add spices: Add turmeric powder, salt, and a pinch of sugar. Mix well. Add poha: Add the drained poha to the pan. Mix gently to coat with spices. Cook: Cover and cook on low heat for 2-3 minutes. Finish: Turn off heat. Add lemon juice and chopped coriander. Mix gently. Serve: Serve hot with optional sev or a side of yogurt.",Indian,Veg,Medium,images/img67.jpg
