title,ingredients,steps,cuisine,diet,difficulty,image_url
Upma,"Semolina (rava), Mustard seeds, Urad dal, Chana dal, Green chili, Ginger, Curry leaves, Onion, Water, Salt, Oil or ghee, Fresh coriander leaves, Lemon juice (optional)","Roast semolina: Dry roast semolina in a pan until it turns light golden and aromatic. Set aside. Prepare tempering: Heat oil or ghee in a pan. Add mustard seeds and let them splutter. Add urad dal and chana dal, fry until golden. Add aromatics: Add chopped green chili, grated ginger, curry leaves, and finely chopped onion. Sauté until onions turn translucent. Add water: Pour water into the pan and bring it to a boil. Add salt. Cook semolina: Gradually add roasted semolina while stirring continuously to avoid lumps. Simmer: Cook on low heat until the semolina absorbs water and thickens. Finish: Turn off heat, add chopped coriander and lemon juice if using. Mix well. Serve: Serve hot with coconut chutney or pickle.",Indian,Veg,Medium,images/img68.jpg
Khandvi,"Gram flour (besan), Yogurt, Turmeric powder, Ginger paste, Green chili paste, Salt, Water, Oil, Mustard seeds, Sesame seeds, Curry leaves, Fresh coriander leaves","Make batter: In a bowl, mix gram flour, yogurt, turmeric powder, ginger paste, green chili paste, salt, and water until smooth with no lumps. Cook batter: Pour the batter into a non-stick pan and cook on medium heat, stirring continuously until it thickens and becomes like a dough. Spread batter: Quickly spread the cooked batter thinly and evenly on a greased flat surface or back of a tray. Roll khandvi: Once cooled, cut into strips and roll them tightly into bite-sized rolls. Prepare tempering: Heat oil in a small pan. Add mustard seeds, sesame seeds, and curry leaves. Let them splutter. Garnish: Pour the tempering over the khandvi rolls. Serve: Garnish with chopped fresh coriander leaves and serve at room temperature.",Indian,Veg,Easy,images/img69.jpg
Sabudana Khichdi,"Sabudana (tapioca pearls), Peanuts, Green chili, Cumin seeds, Curry leaves, Potato, Ghee or oil, Salt, Sugar, Lemon juice, Fresh coriander leaves","Soak sabudana: Rinse sabudana well and soak in water for 4-5 hours or overnight until they become soft. Roast peanuts: Dry roast peanuts until golden and let them cool. Coarsely crush the peanuts. Cook potatoes: Peel and dice potatoes. Prepare tempering: Heat ghee or oil in a pan. Add cumin seeds and curry leaves. Let them splutter. Sauté: Add chopped green chili and diced potatoes. Cook until potatoes are soft. Add sabudana: Drain excess water from sabudana and add to the pan. Mix gently. Season: Add salt and a pinch of sugar. Cook on low heat, stirring occasionally to prevent sticking. Add peanuts: Mix in crushed roasted peanuts. Finish: Turn off heat, add lemon juice and chopped coriander leaves. Mix well. Serve: Serve hot with a side of yogurt or pickle.",Indian,Veg,Easy,images/img70.jpg
Bread Pakora,"Bread slices, Potato, Green chili, Ginger, Coriander leaves, Gram flour (besan), Rice flour (optional), Carom seeds (ajwain), Turmeric powder, Red chili powder, Garam masala, Salt, Water, Oil (for frying)","Prepare filling: Boil and mash potatoes. Add finely chopped green chili, ginger, coriander leaves, salt, turmeric powder, red chili powder, and garam masala. Mix well. Make batter: In a bowl, mix gram flour, rice flour (optional), carom seeds, salt, and water to make a thick, smooth batter. Assemble pakora: Take a bread slice, spread the potato filling evenly, and cover with another bread slice to make a sandwich. Press edges gently. Dip and fry: Dip the sandwich in the batter to coat fully. Deep fry in hot oil until golden and crispy on both sides. Drain: Remove and drain on paper towels. Serve: Serve hot with green chutney or tomato ketchup.",Indian,Veg,Easy,images/img71.jpg
Samosa,"All-purpose flour, Ghee or oil, Water, Salt, Potato, Green peas, Green chili, Ginger, Cumin seeds, Coriander powder, Garam masala, Amchur powder (dry mango powder), Red chili powder, Mustard seeds, Oil (for frying), Fresh coriander leaves","Make dough: Mix all-purpose flour, salt, and ghee/oil. Add water gradually and knead into a firm dough. Cover and set aside. Prepare filling: Boil and mash potatoes. Heat oil in a pan, add mustard seeds, cumin seeds, chopped green chili, and ginger. Sauté. Cook filling: Add boiled peas, mashed potatoes, coriander powder, garam masala, amchur powder, red chili powder, and salt. Cook for 5 minutes. Mix in chopped coriander. Let it cool. Shape samosas: Divide dough into small balls. Roll each ball into an oval, cut in half. Form a cone from half, fill with potato mixture, seal edges with water. Fry samosas: Deep fry samosas in hot oil until golden and crispy. Drain and serve: Drain on paper towels. Serve hot with chutney or sauce.",Indian,Veg,Easy,images/img72.jpg
Pakora,"Gram flour (besan), Onion, Potato, Spinach (optional), Green chili, Ginger, Coriander leaves, Carom seeds (ajwain), Red chili powder, Turmeric powder, Salt, Water, Oil (for frying)","Prepare veggies: Thinly slice onions, potatoes, and spinach (if using). Chop green chili, ginger, and coriander leaves. Make batter: In a bowl, mix gram flour, carom seeds, red chili powder, turmeric powder, salt, and water to form a thick batter. Add veggies: Add sliced and chopped vegetables to the batter and mix well. Heat oil: Heat oil in a deep frying pan. Fry pakoras: Drop spoonfuls of the batter mixture into hot oil. Fry until golden and crispy. Drain: Remove pakoras and drain on paper towels. Serve: Serve hot with chutney or ketchup.",Indian,Veg,Easy,images/img73.jpg
Stuffed Capsicum,"Capsicums (bell peppers), Potatoes, Onion, Green chili, Ginger, Garlic, Tomato, Coriander powder, Cumin powder, Garam masala, Turmeric powder, Red chili powder, Salt, Oil, Fresh coriander leaves","Prepare capsicums: Wash capsicums and cut off the tops. Remove seeds and membranes carefully. Make stuffing: Boil and mash potatoes. In a pan, heat oil and sauté finely chopped onions, green chili, ginger, and garlic until golden. Add spices and tomato: Add chopped tomato, coriander powder, cumin powder, garam masala, turmeric, red chili powder, and salt. Cook until tomatoes are soft. Combine: Add mashed potatoes to the spice mixture. Mix well and cook for a few minutes. Stuff capsicums: Fill each capsicum with the potato stuffing. Cook capsicums: Place stuffed capsicums in a pan, cover, and cook on low heat until capsicums are tender. Garnish and serve: Garnish with fresh coriander leaves and serve hot.",Indian,Veg,Easy,images/img74.jpg
Baingan Bharta,"Large eggplant (baingan), Onion, Tomato, Green chili, Garlic, Ginger, Mustard oil (or any cooking oil), Cumin seeds, Turmeric powder, Red chili powder, Salt, Fresh coriander leaves, Lemon juice (optional)","Roast eggplant: Roast the eggplant over an open flame or in an oven until the skin is charred and the flesh is soft. Let it cool. Prepare eggplant: Peel off the charred skin and mash the soft flesh. Sauté aromatics: Heat oil in a pan. Add cumin seeds and let them splutter. Add finely chopped onions, garlic, ginger, and green chili. Sauté until golden brown. Add tomatoes and spices: Add chopped tomatoes, turmeric powder, red chili powder, and salt. Cook until tomatoes are soft and oil separates. Add mashed eggplant: Mix in the mashed eggplant and cook for 5-7 minutes on medium heat. Finish: Add fresh coriander leaves and lemon juice if desired. Mix well. Serve: Serve hot with roti or rice.",Indian,Veg,Easy,images/img75.jpg
Bhindi Fry,"Okra (bhindi), Oil, Mustard seeds, Turmeric powder, Red chili powder, Coriander powder, Cumin powder, Amchur powder (dry mango powder), Salt","Prepare bhindi: Wash and dry okra thoroughly. Cut into 1-inch pieces. Heat oil: Heat oil in a pan. Add mustard seeds and let them splutter. Add bhindi: Add chopped okra to the pan. Add spices: Sprinkle turmeric powder, red chili powder, coriander powder, cumin powder, amchur powder, and salt. Cook: Fry on medium heat, stirring occasionally, until bhindi is cooked and slightly crispy. Serve: Serve hot as a side dish with roti or rice.",Indian,Veg,Easy,images/img76.jpg
Tindora Fry,"Tindora (ivy gourd), Oil, Mustard seeds, Cumin seeds, Turmeric powder, Red chili powder, Coriander powder, Salt, Asafoetida (hing), Curry leaves (optional)","Prepare tindora: Wash and dry tindora. Slice into thin rounds. Heat oil: Heat oil in a pan. Add mustard seeds and cumin seeds; let them splutter. Add spices: Add a pinch of asafoetida and curry leaves if using. Cook tindora: Add sliced tindora and sauté for a minute. Add powdered spices: Sprinkle turmeric powder, red chili powder, coriander powder, and salt. Fry: Cook on medium heat, stirring occasionally, until tindora is tender and slightly crispy. Serve: Serve hot with roti or as a side dish.",Indian,Veg,Easy,images/img77.jpg
Pumpkin Curry,"Pumpkin, Onion, Tomato, Green chili, Ginger, Garlic, Mustard seeds, Cumin seeds, Curry leaves, Turmeric powder, Red chili powder, Coriander powder, Garam masala, Salt, Oil, Fresh coriander leaves, Coconut milk (optional)","Prepare pumpkin: Peel and cut pumpkin into cubes. Prepare tempering: Heat oil in a pan. Add mustard seeds, cumin seeds, and curry leaves. Let them splutter. Sauté aromatics: Add finely chopped onion, ginger, garlic, and green chili. Sauté until onion turns golden. Add tomato and spices: Add chopped tomato, turmeric powder, red chili powder, coriander powder, and salt. Cook until tomatoes are soft. Add pumpkin: Add pumpkin cubes and mix well. Cook: Add water or coconut milk (if using) to cover pumpkin. Cover and cook on medium heat until pumpkin is tender. Finish: Add garam masala and cook for another 2 minutes. Garnish: Garnish with fresh coriander leaves. Serve: Serve hot with rice or roti.",Chinese,Veg,Easy,images/img78.jpg
Zucchini Stir Fry,"Zucchini, Garlic, Olive oil, Salt, Black pepper, Red chili flakes (optional), Lemon juice, Fresh parsley or coriander leaves","Prepare zucchini: Wash and slice zucchini into thin rounds or half-moons. Heat oil: Heat olive oil in a pan over medium heat. Sauté garlic: Add minced garlic and sauté until fragrant. Add zucchini: Add sliced zucchini to the pan. Season: Sprinkle salt, black pepper, and red chili flakes if using. Cook: Stir fry zucchini until tender but still slightly crisp (about 5-7 minutes). Finish: Remove from heat, squeeze fresh lemon juice over it, and garnish with chopped parsley or coriander. Serve: Serve warm as a side dish.",Chinese,Veg,Easy,images/img79.jpg
Tofu Curry,"Firm tofu, Onion, Tomato, Garlic, Ginger, Green chili, Mustard seeds, Cumin seeds, Curry leaves, Turmeric powder, Red chili powder, Coriander powder, Garam masala, Salt, Oil, Fresh coriander leaves, Coconut milk (optional)","Prepare tofu: Cut firm tofu into cubes and lightly fry until golden. Set aside. Prepare tempering: Heat oil in a pan. Add mustard seeds, cumin seeds, and curry leaves. Let them splutter. Sauté aromatics: Add finely chopped onion, garlic, ginger, and green chili. Sauté until onions turn golden. Add tomatoes and spices: Add chopped tomatoes, turmeric powder, red chili powder, coriander powder, salt. Cook until tomatoes soften and oil separates. Add tofu: Add fried tofu cubes and mix gently. Add coconut milk: Pour coconut milk if using, and simmer for 5-10 minutes to allow flavors to blend. Finish: Add garam masala and fresh coriander leaves. Mix well. Serve: Serve hot with rice or roti.",Japanese,Veg,Easy,images/img80.jpg
Tofu Stir Fry,"Firm tofu, Bell peppers, Broccoli, Carrots, Snow peas, Garlic, Ginger, Soy sauce, Sesame oil, Olive oil, Green onions, Salt, Black pepper, Sesame seeds (optional)","Prepare tofu: Cut firm tofu into cubes. Pat dry to remove moisture. Cook tofu: Heat olive oil in a pan. Fry tofu cubes until golden on all sides. Remove and set aside. Sauté aromatics: In the same pan, add sesame oil, minced garlic, and grated ginger. Sauté until fragrant. Add vegetables: Add chopped bell peppers, broccoli florets, carrots, and snow peas. Stir fry for 4-5 minutes until tender-crisp. Add tofu back: Return tofu cubes to the pan. Season: Add soy sauce, salt, and black pepper. Toss everything gently to combine. Finish: Garnish with chopped green onions and sesame seeds if using. Serve: Serve hot with steamed rice or noodles.",Japanese,Veg,Medium,images/img81.jpg
Veg Sushi,"Sushi rice, Nori sheets, Cucumber, Carrot, Avocado, Bell pepper, Rice vinegar, Sugar, Salt, Soy sauce, Wasabi, Pickled ginger","Prepare sushi rice: Rinse sushi rice until water runs clear. Cook rice and let it cool slightly. Mix rice vinegar, sugar, and salt, then fold into the cooked rice. Prepare vegetables: Julienne cucumber, carrot, bell pepper, and slice avocado. Assemble sushi: Place a nori sheet on a bamboo sushi mat. Spread an even layer of sushi rice over nori, leaving a small border. Add fillings: Place vegetable strips horizontally near one edge. Roll sushi: Using the mat, roll the sushi tightly from the edge with fillings. Slice: Cut the roll into bite-sized pieces with a sharp knife. Serve: Serve with soy sauce, wasabi, and pickled ginger.",Japanese,Veg,Medium,images/img82.jpg
Chicken Sushi,"Sushi rice, Nori sheets, Cooked chicken breast (shredded or sliced), Cucumber, Avocado, Mayonnaise (optional), Rice vinegar, Sugar, Salt, Soy sauce, Wasabi, Pickled ginger","Prepare sushi rice: Rinse sushi rice until water runs clear. Cook rice and let it cool slightly. Mix rice vinegar, sugar, and salt, then fold into the cooked rice. Prepare fillings: Slice cooked chicken breast, cucumber, and avocado into thin strips. Optionally mix chicken with a little mayonnaise for creaminess. Assemble sushi: Place a nori sheet on a bamboo sushi mat. Spread an even layer of sushi rice over nori, leaving a small border. Add fillings: Place chicken, cucumber, and avocado strips horizontally near one edge. Roll sushi: Using the mat, roll the sushi tightly from the edge with fillings. Slice: Cut the roll into bite-sized pieces with a sharp knife. Serve: Serve with soy sauce, wasabi, and pickled ginger.",Japanese,Non-Veg,Medium,images/img83.jpg
Beef Teriyaki,"Beef (thinly sliced), Soy sauce, Mirin, Sake (optional), Sugar, Garlic, Ginger, Vegetable oil, Green onions, Sesame seeds","Prepare marinade: Mix soy sauce, mirin, sake (if using), sugar, minced garlic, and grated ginger in a bowl. Marinate beef: Add thinly sliced beef to the marinade. Let it marinate for at least 30 minutes. Cook beef: Heat vegetable oil in a pan over medium-high heat. Add beef slices and cook until browned and cooked through. Add sauce: Pour remaining marinade into the pan and cook until sauce thickens and coats the beef. Garnish: Sprinkle chopped green onions and sesame seeds on top. Serve: Serve hot with steamed rice or noodles.",French,Non-Veg,Medium,images/img84.jpg
Teriyaki Tofu,"Firm tofu, Soy sauce, Mirin, Sake (optional), Sugar, Garlic, Ginger, Vegetable oil, Green onions, Sesame seeds","Prepare tofu: Press tofu to remove excess water, then cut into cubes or slices. Make marinade: Mix soy sauce, mirin, sake (optional), sugar, minced garlic, and grated ginger. Marinate tofu: Marinate tofu pieces for at least 15-30 minutes. Cook tofu: Heat vegetable oil in a pan over medium heat. Fry tofu until golden on all sides. Add sauce: Pour marinade into the pan and cook until it thickens and coats tofu well. Garnish: Sprinkle chopped green onions and sesame seeds. Serve: Serve hot with steamed rice or noodles.",French,Veg,Medium,images/img85.jpg
Ramen,"Ramen noodles, Chicken or vegetable broth, Soy sauce, Miso paste (optional), Garlic, Ginger, Green onions, Mushrooms, Soft-boiled eggs, Bok choy or spinach, Corn, Nori sheets, Sesame oil, Chili paste (optional)","Prepare broth: In a pot, heat chicken or vegetable broth. Add minced garlic, grated ginger, soy sauce, and miso paste (if using). Simmer for 10-15 minutes. Cook noodles: Cook ramen noodles according to package instructions. Drain and set aside. Prepare toppings: Soft boil eggs, slice mushrooms, chop green onions, and prepare vegetables like bok choy or spinach. Assemble ramen: Place noodles in a bowl. Pour hot broth over noodles. Add toppings: Add soft-boiled eggs, mushrooms, corn, greens, chopped green onions, and nori strips. Finish: Drizzle with sesame oil and add chili paste if desired. Serve: Serve hot immediately.",French,Non-Veg,Medium,images/img86.jpg
Udon Noodles,"Udon noodles, Dashi stock (or vegetable broth), Soy sauce, Mirin, Sugar, Green onions, Shiitake mushrooms, Tofu or tempura (optional), Seaweed (nori), Sesame oil, Ginger","Prepare broth: Heat dashi stock or vegetable broth in a pot. Add soy sauce, mirin, and a pinch of sugar. Simmer gently. Cook noodles: Cook udon noodles according to package instructions. Drain and set aside. Prepare toppings: Slice shiitake mushrooms, chop green onions, and prepare tofu or tempura if using. Assemble bowl: Place cooked noodles in a bowl. Pour hot broth over the noodles. Add toppings: Add mushrooms, tofu or tempura, chopped green onions, and seaweed strips. Finish: Drizzle a little sesame oil and add fresh grated ginger if desired. Serve: Serve hot immediately.",French,Veg,Hard,images/img87.jpg
Tempura,"Vegetables (sweet potato, bell pepper, zucchini, broccoli), Shrimp (optional), All-purpose flour, Cornstarch, Egg, Ice-cold water, Salt, Oil for deep frying, Soy sauce, Dashi, Mirin, Sugar (for dipping sauce)","Prepare batter: Mix all-purpose flour, cornstarch, egg, and ice-cold water gently. Do not overmix; batter should be lumpy. Prepare ingredients: Cut vegetables into bite-sized pieces. If using shrimp, devein and peel, leaving tail. Heat oil: Heat oil to 180°C (350°F) for deep frying. Coat and fry: Dip vegetables and shrimp into batter, then carefully drop into hot oil. Fry until golden and crispy. Drain: Remove tempura with a slotted spoon and drain on paper towels. Make dipping sauce: Mix soy sauce, dashi, mirin, and sugar. Heat gently to dissolve sugar. Serve: Serve tempura hot with dipping sauce.",French,Non-Veg,Medium,images/img88.jpg
Donburi,"Cooked rice, Chicken or beef slices, Onion, Soy sauce, Mirin, Sugar, Dashi or broth, Eggs, Green onions, Oil","Prepare sauce: In a pan, combine soy sauce, mirin, sugar, and dashi or broth. Bring to a simmer. Cook meat and onion: Add sliced onion and meat to the pan. Cook until meat is tender and onion is soft. Add eggs: Beat eggs lightly and pour over the meat and onion mixture. Cover and cook until eggs are just set. Assemble: Place cooked rice in a bowl. Serve: Spoon the meat, onion, and egg mixture over rice. Garnish with chopped green onions.",French,Non-Veg,Medium,images/img89.jpg
Croissant,"All-purpose flour, Sugar, Salt, Active dry yeast, Warm milk, Unsalted butter (cold, for laminating), Eggs, Water","Prepare dough: Mix flour, sugar, salt, and yeast. Add warm milk and mix into a dough. Knead dough: Knead until smooth and elastic. Let it rise until doubled in size. Prepare butter block: Flatten cold butter into a thin square. Laminate dough: Roll dough into a rectangle, place butter block on half, fold dough over butter, and roll out. Fold dough into thirds (like a letter). Chill dough. Repeat rolling and folding 3-4 times, chilling between folds. Shape croissants: Roll dough into a large rectangle. Cut triangles. Roll each triangle from base to tip to form croissants. Proof: Let croissants rise until puffy. Bake: Brush with egg wash and bake in a preheated oven at 200°C (400°F) for 15-20 minutes until golden.",Mexican,Veg,Hard,images/img90.jpg
Quiche,"Pie crust (store-bought or homemade), Eggs, Heavy cream or milk, Cheese (Gruyere, cheddar, or your choice), Cooked bacon or ham (optional), Spinach or vegetables (optional), Salt, Black pepper, Nutmeg","Preheat oven: Preheat oven to 180°C (350°F). Prepare crust: Roll out pie crust and fit into a tart or pie pan. Blind bake crust for about 10 minutes. Prepare filling: In a bowl, whisk eggs and cream. Add salt, pepper, and a pinch of nutmeg. Add fillings: Spread cheese, cooked bacon/ham, and vegetables evenly in the crust. Pour egg mixture: Pour the egg mixture over the fillings. Bake: Bake for 30-40 minutes until filling is set and golden on top. Cool and serve: Let cool slightly before slicing and serving.",Mexican,Veg,Medium,images/img91.jpg
French Onion Soup,"Onions, Butter, Olive oil, Beef broth, Dry white wine, Thyme, Bay leaf, Salt, Black pepper, Baguette slices, Gruyere cheese","Caramelize onions: Slice onions thinly. Heat butter and olive oil in a pot. Add onions and cook slowly until deeply caramelized (about 30-40 minutes). Add broth and wine: Add beef broth, dry white wine, thyme, and bay leaf. Simmer for 20-30 minutes. Season with salt and pepper. Prepare bread: Toast baguette slices until crisp. Assemble soup: Ladle soup into oven-safe bowls. Place toasted baguette slices on top. Add cheese: Sprinkle grated Gruyere cheese generously over bread. Broil: Place bowls under broiler until cheese is melted and bubbly. Serve: Serve hot.",Mexican,Veg,Hard,images/img92.jpg
Ratatouille,"Eggplant, Zucchini, Bell peppers, Tomatoes, Onion, Garlic, Olive oil, Thyme, Basil, Salt, Black pepper","Prepare vegetables: Slice eggplant, zucchini, bell peppers, and tomatoes into thin rounds. Chop onion and mince garlic. Cook base: Heat olive oil in a pan, sauté onion and garlic until soft. Layer vegetables: In a baking dish, arrange sliced vegetables in alternating layers (eggplant, zucchini, bell pepper, tomato). Season: Drizzle olive oil over vegetables, sprinkle thyme, basil, salt, and pepper. Bake: Cover dish with foil and bake at 190°C (375°F) for about 45 minutes until vegetables are tender. Serve: Serve warm as a side or main dish.",Mexican,Veg,Hard,images/img93.jpg
Crepes,"All-purpose flour, Eggs, Milk, Water, Salt, Butter (melted), Sugar (optional for sweet crepes), Vanilla extract (optional)","Make batter: In a bowl, whisk together flour, eggs, milk, water, salt, melted butter, and sugar/vanilla if using until smooth. Rest batter: Let the batter rest for about 30 minutes in the fridge. Heat pan: Heat a non-stick pan over medium heat and lightly grease it. Cook crepes: Pour a small ladle of batter into the pan, tilt to spread evenly. Cook until edges lift and bottom is golden, then flip and cook the other side briefly. Serve: Serve warm with fillings like fruits, Nutella, jam, or savory fillings as desired.",Mexican,Veg,Hard,images/img94.jpg
Baguette,"All-purpose flour, Water, Active dry yeast, Salt, Sugar (optional)","Prepare dough: Mix flour, yeast, salt, and sugar (if using). Add water gradually and mix until a dough forms. Knead dough: Knead for about 10 minutes until smooth and elastic. First rise: Place dough in a bowl, cover, and let rise until doubled in size (1-2 hours). Shape baguettes: Punch down dough, divide into portions, shape into long thin loaves. Second rise: Place shaped dough on a baking tray, cover, and let rise again for 30-45 minutes. Preheat oven: Preheat oven to 220°C (430°F). Place a pan of water in oven to create steam. Bake: Make slashes on top of loaves with a sharp knife. Bake for 20-25 minutes until golden brown and crusty. Cool: Let cool on a wire rack before slicing.",Italian,Veg,Medium,images/img95.jpg
Tacos,"Taco shells or soft tortillas, Ground beef or chicken, Onion, Garlic, Taco seasoning, Tomato, Lettuce, Cheddar cheese, Sour cream, Salsa, Olive oil, Cilantro, Lime","Cook meat: Heat olive oil in a pan. Sauté chopped onion and garlic until soft. Add ground meat and cook until browned. Add seasoning: Stir in taco seasoning and a little water. Simmer until meat is well coated and cooked through. Prepare toppings: Chop tomato, lettuce, and cilantro. Grate cheddar cheese. Warm shells: Heat taco shells or tortillas as per package instructions. Assemble tacos: Fill shells with cooked meat, then add toppings like tomato, lettuce, cheese, sour cream, salsa, and cilantro. Serve: Serve with lime wedges.",Mexican,Veg,Hard,images/img96.jpg
Nachos,"Tortilla chips, Cheddar cheese (shredded), Jalapeños, Black beans, Corn, Tomato, Onion, Cilantro, Sour cream, Guacamole, Salsa","Preheat oven: Preheat oven to 180°C (350°F). Layer chips: Spread tortilla chips evenly on a baking sheet or oven-safe dish. Add toppings: Sprinkle shredded cheddar cheese over chips. Add jalapeños, black beans, corn, diced tomato, and chopped onion. Bake: Bake in oven for 10-15 minutes until cheese melts and toppings are heated. Add fresh toppings: Remove from oven and top with fresh cilantro, sour cream, guacamole, and salsa. Serve: Serve immediately while hot.",Thai,Veg,Medium,images/img97.jpg
Burrito,"Large flour tortillas, Cooked rice, Black beans, Ground beef or chicken, Onion, Garlic, Taco seasoning, Cheese, Lettuce, Tomato, Sour cream, Salsa, Cilantro, Olive oil","Cook meat: Heat olive oil in a pan. Sauté chopped onion and garlic until soft. Add ground meat and cook until browned. Add seasoning: Stir in taco seasoning and cook for a few minutes. Prepare fillings: Warm black beans and cooked rice. Chop lettuce, tomato, and cilantro. Assemble burrito: Lay a tortilla flat. Add rice, beans, meat, cheese, lettuce, tomato, sour cream, salsa, and cilantro. Roll burrito: Fold in sides and roll tightly from one end to the other. Serve: Serve immediately or grill briefly to seal and warm.",Indian,Veg,Medium,images/img98.jpg
Quesadilla,"Flour tortillas, Shredded cheese (cheddar, mozzarella, or a mix), Cooked chicken or beef (optional), Bell peppers, Onions, Olive oil, Salsa, Sour cream, Guacamole","Prepare fillings: Slice bell peppers and onions. Cook with a bit of olive oil until soft if using. Heat pan: Heat a non-stick skillet over medium heat. Assemble quesadilla: Place a tortilla in the pan, sprinkle cheese evenly, add cooked meat and vegetables (if using), then top with more cheese and another tortilla. Cook: Cook until bottom tortilla is golden and cheese melts, then carefully flip and cook the other side. Serve: Remove from pan, cut into wedges. Serve with salsa, sour cream, and guacamole.",Mexican,Veg,Medium,images/img99.jpg
Enchiladas,"Corn tortillas, Cooked shredded chicken or beef, Enchilada sauce, Shredded cheese (cheddar or Mexican blend), Onion, Garlic, Olive oil, Cilantro, Sour cream, Jalapeños (optional)","Preheat oven: Preheat oven to 180°C (350°F). Prepare filling: In a pan, sauté chopped onion and garlic in olive oil. Add cooked shredded chicken or beef and some enchilada sauce. Mix well. Assemble enchiladas: Dip each tortilla in enchilada sauce, fill with meat mixture, roll tightly, and place seam side down in a baking dish. Add sauce and cheese: Pour remaining enchilada sauce over rolled tortillas. Sprinkle shredded cheese on top. Bake: Bake for 20-25 minutes until cheese is melted and bubbly. Serve: Garnish with chopped cilantro, sour cream, and jalapeños if desired.",Mexican,Veg,Medium,images/img100.jpg
